label,mean_r
ContA,0.07192762941122055
ContB,0.054142240434885025
ContC,0.05105430632829666
VisCent,0.03499710187315941
VisPeri,0.03255411982536316
LimbicA,-0.005556026939302683
DorsAttnB,-0.007937213405966759
LimbicB,-0.011279620230197906
SalVentAttnA,-0.013526863418519497
DefaultB,-0.018814444541931152
DefaultC,-0.019572248682379723
DefaultA,-0.028139472007751465
TempPar,-0.04250934720039368
SalVentAttnB,-0.05869205668568611
DorsAttnA,-0.06268718093633652
SomMotA,-0.07201047241687775
SomMotB,-0.12742124497890472
